week;date;repository;referrer;count;uniques
19;2024-05-07;base-repo;github.com;246;6
19;2024-05-07;base-repo;Google;49;2
19;2024-05-07;base-repo;kit-data-manager.github.io;30;2
19;2024-05-07;base-repo;statics.teams.cdn.office.net;3;2
19;2024-05-07;base-repo;matwerk.datamanager.kit.edu;1;1
19;2024-05-07;base-repo-sfb980;github.com;2;1
19;2024-05-07;collection-api;kit-data-manager.github.io;1;1
19;2024-05-07;com_mapping-service-input;github.com;3;1
19;2024-05-07;Data-Collections-Explorer;Google;4;1
19;2024-05-07;Data-Collections-Explorer;github.com;2;1
19;2024-05-07;FAIR-DO-Lab;kit-data-manager.github.io;3;1
19;2024-05-07;FAIR-DO-Lab;nfdi-matwerk.de;1;1
19;2024-05-07;FAIR-DO-Lab;Google;1;1
19;2024-05-07;FAIR-DO-Lab;github.com;1;1
19;2024-05-07;FAIR-DO-Lab;Bing;1;1
19;2024-05-07;fairdo-cookbook;github.com;10;1
19;2024-05-07;fairdo-cookbook;kit-data-manager.github.io;3;1
19;2024-05-07;frontend-collection;github.com;16;4
19;2024-05-07;frontend-collection;Google;4;1
19;2024-05-07;frontend-collection;statics.teams.cdn.office.net;2;1
19;2024-05-07;gemma-plugin;yandex.ru;1;1
19;2024-05-07;generic-message-consumer;github.com;8;1
19;2024-05-07;generic-message-consumer;Google;2;1
19;2024-05-07;INCLDE;github.com;2;1
19;2024-05-07;INCLDE;kit-data-manager.github.io;1;1
19;2024-05-07;kitdm-pycli;github.com;5;1
19;2024-05-07;kitdm-pycli;statics.teams.cdn.office.net;2;1
19;2024-05-07;mapping-service;Google;2;1
19;2024-05-07;mapping-service;github.com;2;1
19;2024-05-07;metadata-editor;Google;14;7
19;2024-05-07;metadata-editor;github.com;4;1
19;2024-05-07;metadata-editor;yandex.ru;1;1
19;2024-05-07;Metadata-Schemas-for-Materials-Science;Google;81;2
19;2024-05-07;Metadata-Schemas-for-Materials-Science;github.com;9;1
19;2024-05-07;Metadata-Schemas-for-Materials-Science;matwerk.datamanager.kit.edu;8;1
19;2024-05-07;Metadata-Schemas-for-Materials-Science;metarepo.nffa.eu;1;1
19;2024-05-07;metastore2;github.com;87;4
19;2024-05-07;metastore2;helmholtz-metadaten.de;4;1
19;2024-05-07;metastore2;Google;4;1
19;2024-05-07;metastore2;kit-data-manager.github.io;3;2
19;2024-05-07;metastore2;zenodo.org;1;1
19;2024-05-07;nexus-publish-example;Google;12;2
19;2024-05-07;pid-component;Google;1;1
19;2024-05-07;pit-service;Google;5;2
19;2024-05-07;pit-service;github.com;3;2
19;2024-05-07;pit-service;kit-data-manager.github.io;1;1
19;2024-05-07;repo-core;github.com;90;1
19;2024-05-07;ro-crate-java;github.com;201;7
19;2024-05-07;ro-crate-java;Google;52;2
19;2024-05-07;ro-crate-java;kit-data-manager.github.io;5;1
19;2024-05-07;service-base;github.com;9;2
19;2024-05-07;visualization-graph-web-component;github.com;72;3
19;2024-05-07;visualization-graph-web-component;kit-data-manager.github.io;1;1
19;2024-05-07;wap-server;github.com;25;1
19;2024-05-07;wap-server;kit-data-manager.github.io;5;1
